STN---,WBAN , YEARMODA,   TEMP, TEMP2 ,   DEWP, DEWP2 ,  SLP  , SLP2 ,  STP  , STP2 , VISIB, VISIB2 ,  WDSP,  WDSP2, MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT
726580,14922, 19910215,   -1.5,24,  -12.9,24, 1023.8,24,  991.0,24,  14.3,24,  14.4,24,  21.0,  31.1,    9.0*,  -9.9 , 0.03G,  3.1, 001000,
726580,14922, 19910216,   15.8,24,    5.9,24, 1011.9,24,  979.7,24,  14.7,24,   8.0,24,  15.0, 999.9,   36.0*,  -9.9 , 0.00G,  2.0, 011000,
726580,14922, 19910217,   27.2,24,   16.6,24, 1010.7,24,  979.3,24,  14.4,24,   6.0,24,  12.0, 999.9,   37.0 ,  17.1*, 0.00G,  1.2, 000000,
726580,14922, 19910218,   29.4,24,   23.8,24, 1013.1,24,  981.7,24,   5.6,24,   9.4,24,  13.0, 999.9,   36.0 ,  17.1 , 0.00G,  0.8, 101000,
726580,14922, 19910219,   26.5,24,   20.9,24, 1013.6,24,  982.1,24,   9.1,24,  10.8,24,  15.0,  20.0,   32.0 ,  19.9 , 0.23G,  3.9, 101000,
726580,14922, 19910220,   25.6,24,   19.1,24, 1013.3,24,  981.6,24,  13.7,24,   8.5,24,  14.0, 999.9,   42.1*,  10.0 , 0.06G,  3.1, 000000,
726580,14922, 19910221,   34.5,24,   28.8,24, 1013.6,24,  982.3,24,  11.1,24,   7.2,24,  19.0,  25.1,   48.9*,  10.9 , 0.00G,  1.2, 100000,
726580,14922, 19910222,   26.3,24,   14.2,24, 1025.9,24,  994.1,24,  15.9,24,  13.0,24,  18.1,  25.1,   48.9 ,  17.1 , 0.00G,  0.4, 000000,
726580,14922, 19910223,   17.5,24,    7.9,24, 1024.1,24,  991.9,24,   9.4,24,   8.9,24,  15.0, 999.9,   33.1 ,  15.1 , 0.34G,  3.9, 001000,
726580,14922, 19910224,   10.2,24,    3.6,24, 1024.8,24,  992.4,24,  11.7,24,   8.7,24,  13.0, 999.9,   23.0 ,  -0.9 , 0.08G,  5.1, 101000,
726580,14922, 19910225,    7.7,24,   -0.6,24, 1031.0,24,  998.1,24,  13.0,24,   4.3,24,   8.0, 999.9,   21.0*,  -8.0 , 0.00G,  3.9, 000000,
726580,14922, 19910226,   17.4,24,    9.4,24, 1022.7,24,  990.4,24,   8.9,24,   4.1,24,  11.1, 999.9,   23.0 ,  14.0*, 0.01G,  3.9, 101000,
726580,14922, 19910227,   18.0,24,   11.6,24, 1015.4,24,  983.4,24,  10.0,24,   4.8,24,  11.1, 999.9,   28.0*,   8.1 , 0.02G,  3.9, 101000,
726580,14922, 19910228,   21.6,24,   16.0,24, 1010.6,24,  978.9,24,   7.2,24,   4.9,24,  12.0, 999.9,   37.0*,   8.1 , 0.12D,  5.9, 101000,
726580,14922, 19910301,   33.9,24,   29.7,24, 1001.2,24,  970.3,24,   3.7,24,   8.0,24,  11.1, 999.9,   39.0*,  28.9*, 0.00D,  3.9, 110000,
726580,14922, 19910302,   20.9,24,   11.1,24, 1008.4,24,  977.0,24,  12.7,24,  17.6,24,  22.9,  31.1,   39.9 ,  10.0 , 0.00G,  3.1, 110000,
726580,14922, 19910303,   13.0,24,   -2.9,24, 1020.6,24,  988.3,24,  18.8,24,   6.7,24,  12.0, 999.9,   26.1 ,   6.1 , 0.00G,  3.1, 000000,
726580,14922, 19910304,   24.5,24,   13.2,24, 1010.4,24,  978.7,24,  14.9,24,   5.6,24,  11.1, 999.9,   42.1*,   6.1 , 0.00G,  2.0, 000000,
726580,14922, 19910305,   37.6,24,   29.8,24,  994.4,24,  963.7,24,  12.6,24,   7.2,24,  13.0, 999.9,   52.0*,  15.1 , 0.00G,  0.4, 110000,
726580,14922, 19910306,   26.7,24,   17.1,24,  998.7,24,  967.8,24,  10.9,24,  16.9,24,  22.0,  27.0,   54.0 ,  18.0 , 0.36G,  3.1, 101000,
726580,14922, 19910307,   16.9,24,    0.2,24, 1015.9,24,  983.9,24,  15.5,24,   9.5,24,  15.0, 999.9,   30.0*,   3.9 , 0.15G,  3.1, 000000,
726580,14922, 19910308,   29.4,24,   24.6,24, 1011.4,24,  979.8,24,   8.0,24,   7.3,24,  15.0, 999.9,   41.0*,  19.0*, 0.00G,  3.1, 111000,
726580,14922, 19910309,   27.2,24,   16.3,24, 1018.9,24,  987.3,24,  15.4,24,  13.4,24,  19.0,  25.1,   41.0 ,  18.0 , 0.06G,  1.2, 011000,
726580,14922, 19910310,   31.6,24,   19.2,24, 1022.7,24,  991.0,24,  19.9,24,   9.5,24,  21.0,  27.0,   43.0*,  18.0 , 0.02G,  0.4, 000000,
726580,14922, 19910311,   39.1,24,   25.9,24, 1014.5,24,  983.4,24,  13.8,24,  19.0,24,  24.1,  32.1,   45.0*,  23.0 , 0.00G,  0.4, 000000,
